三時,TAM THỜI,ba giờ,
普段,PHỔ ĐOẠN,mỗi ngày,
次,THỨ,kế tiếp,
次々,THỨ,từng cái một,
名案,DANH ÁN,ý tưởng tốt,
目次,MỤC THỨ,mục lục,
次第に,THỨ ĐỆ,dần dần,
次いで,THỨ,kế tiếp,
次女,THỨ NỮ,con gái thứ hai,
次男,THỨ NAM,con trai thứ hai,
次回,THỨ HỒI,lần tới,
人々,NHÂN,người,
色々な,SẮC,khác nhau,
時々,THỜI,đôi khi,
少々,THIỂU,hơi,
先々週,TIÊN CHU,tuần trước khi cuối cùng,
別々に,BIỆT,riêng,
昔々,TÍCH,ngay xửa ngay xưa,
勝つ,THẮNG,thắng lợi,
勝負,THẮNG PHỤ,trò chơi,
勝手に,THẮNG THỦ,tự ý,
一勝,NHẤT THẮNG,một chiến thắng,
優勝する,ƯU THẮNG,thắng lợi,
決勝,QUYẾT THẮNG,cuối cùng,
勝る,THẮNG,lớn hơn,
賛成する,TÁN THÀNH,đồng ý,
成長,THÀNH TRƯỜNG,tăng trưởng,
成人,THÀNH NHÂN,người lớn,
成る,THÀNH,của,
成績,THÀNH TÍCH,hiệu suất,
完成,HOÀN THÀNH,hoàn thành,
成功,THÀNH CÔNG,sự thành công,
成就する,THÀNH TỰU,thực hiện,
絶対に,TUYỆT ĐỐI,tuyệt đối,
反対する,PHẢN ĐỐI,đối lại,
日本対スペイン,NHẬT BỔN ĐỐI,nhật bản vs tây ban nha,
対象,ĐỐI TƯỢNG,mục tiêu,
〜に対して,ĐỐI,chống lại,
一対,NHẤT ĐỐI,cặp,
相対的に,TƯƠNG ĐỐI ,tương đối,
投げる,ĐẦU,ném,
投票する,ĐẦU PHIẾU,bỏ phiếu,
投書,ĐẦU THƯ,thư,
投資,ĐẦU TƯ,đầu tư,
投手,ĐẦU THỦ,bình,
選択する,TUYỂN TRẠCH,lựa chọn,
選挙,TUYỂN CỬ,bầu cử,
挑戦,KHIÊU CHIẾN,thách,
当選する,ĐƯƠNG TUYỂN,để thắng,
選挙権,TUYỂN CỬ QUYỀN,quyền bỏ phiếu,
留守,LƯU THỦ,vắng mặt,
留守番電話,LƯU THỦ PHIÊN ĐIỆN THOẠI,máy trả lời,
守る,THỦ,bảo vệ,
保守的,BẢO THỦ ,thận trọng,
子守歌,TỬ THỦ CA,bài hát ru con,
お守り,THỦ,bùa,
守衛,THỦ VỆ,bảo vệ,
過去,QUÁ KHỨ,quá khứ,
過ぎる,QUÁ,đèo,
三時過ぎ,TAM THỜI QUÁ,ba giờ quá,
過ごす,QUÁ,tiêu,
過半数,"QUÁ BÁN SỔ,SỐ",đa số,
通り過ぎる,THÔNG QUÁ,đèo,
過ち,QUÁ,sai lầm,
目的,MỤC ,mục đích,
民主的,DÂN CHỦ ,dân chủ,
社会的,XÃ HỘI ,xã hội,
国際的,QUỐC TẾ ,quốc tế,
積極的,TÍCH CỰC ,hoạt động,
消極的,TIÊU CỰC ,thụ động,
比較的,TỈ GIÁC ,tương đối,
的,"",nhãn hiệu,
戻る,LỆ,trở về,
戻す,LỆ,trở về,
払い戻す,PHẤT LỆ,trả tlại,
取り戻す,THỦ LỆ,lấy lại,
返戻金,PHẢN LỆ KIM,hoàn lại tiền,
飛行機,PHI HÀNH CƠ,máy bay,
機会,CƠ HỘI,cơ hội,
洗濯機,TẨY TRẠC CƠ,may giặt,
機械,CƠ GIỚI,máy móc,
機能,CƠ NĂNG,hàm số,
期限,KÌ HẠN,hạn chót,
機関,CƠ QUAN,đại lý,
危機,NGUY CƠ,khủng hoảng,
機織り機,CƠ CHỨC CƠ,máy dệt,
地下鉄,ĐỊA HẠ THIẾT,xe điện ngầm,
鉄,THIẾT,ủi,
鉄道,THIẾT ĐẠO,đường sắt,
私鉄,TƯ THIẾT,đường sắt tư nhân,
鉄板焼き,THIẾT BẢN THIÊU,thịt nướng đá,
鉄筋コンクリート,THIẾT CÂN,bê tông cốt thép,
遅い,TRÌ,chậm,
遅れる,TRÌ,ở chậm lại sau,
遅刻する,TRÌ KHẮC,muộn để,
乗り遅れる,THỪA TRÌ,hoa hậu,
遅れ,TRÌ,chậm trễ,
船,THUYỀN,tàu,
船便,THUYỀN TIỆN,dịch vụ vận chuyển,
風船,PHONG THUYỀN,khí cầu,
造船,TẠO THUYỀN,đóng tàu,
客船,KHÁCH THUYỀN,tàu du lịch,
貨物船,HÓA VẬT THUYỀN,tàu chở hàng,
船長,THUYỀN TRƯỜNG,thuyền trưởng,
船旅,THUYỀN LỮ,du lịch đường biển,
席,TỊCH,ghế,
出席,XUẤT TỊCH,sự tham dự,
空席,KHÔNG TỊCH,chổ trống,
欠席,KHIẾM TỊCH,vắng mặt,
客席,KHÁCH TỊCH,ghế khán giả,
着席する,TRỨ TỊCH,ngồi xuống,
大陸,ĐẠI LỤC,lục địa,
陸,LỤC,đất,
着陸,TRỨ LỤC,đổ bộ,
上陸,THƯỢNG LỤC,đổ bộ,
陸軍,LỤC QUÂN,quân đội,
陸上,LỤC THƯỢNG,đất,
橋,KIỀU,cầu,
鉄橋,THIẾT KIỀU,cây cầu sắt,
歩道橋,BỘ ĐẠO KIỀU,cầu cho người đi bộ,
交番,GIAO PHIÊN,sự xoay chiều,
交差点,GIAO SAI ĐIỂM,ngã tư,
交通事故,GIAO THÔNG SỰ CỐ,tai nạn giao thông,
交換,GIAO HOÁN,trao đổi,
外交官,NGOẠI GIAO QUAN,nhà ngoại giao,
交じる,GIAO,được trộn lẫn,
交わる,GIAO,cắt nhau,
交わす,GIAO,trao đổi,
神/神様,THẦN THẦN DẠNG,thiên chúa/chúa,
神社,THẦN XÃ,lăng,
神経,THẦN KINH,thần kinh,
精神,TINH THẦN,thần linh,
神話,THẦN THOẠI,chuyện thần thoại,
神道,THẦN ĐẠO,đạo shinto,
神戸,THẦN HỘ,kobe,
信号,TÍN HÀO,tín hiệu,
信じる,TÍN,tin,
自信,TỰ TÍN,lòng tin,
信用,TÍN DỤNG,thẻ tín dụng,
信頼,TÍN LẠI,lòng tin,
信仰,TÍN NGƯỠNG,lòng tin,
受信,THỤ TÍN,tiếp tân,
相談する,TƯƠNG ĐÀM,tư vấn,
相手,TƯƠNG THỦ,phản đối,
首相,THỦ TƯƠNG,thủ tướng,
相当,TƯƠNG ĐƯƠNG,đáng kể,
相違,TƯƠNG VI,khác nhau,
相続,TƯƠNG TỤC,di sản,
相変わらず,TƯƠNG BIẾN,như thường lệ,
相撲,TƯƠNG PHÁC,vật sumo,
案内する,ÁN NỘI,mời,
案,ÁN,bản thảo,
案外,ÁN NGOẠI,thật bất ngờ,
答案用紙,ĐÁP ÁN DỤNG CHỈ,trả lời tờ,
提案,ĐỀ ÁN,đề nghị,
案の定,ÁN ĐỊNH,chắc chắn đủ,
友達,HỮU ĐẠT,người bạn,
私たち,TƯ,chúng tôi,
速達,TỐC ĐẠT,đưa thư hỏa tốc,
上達する,THƯỢNG ĐẠT,nhận tốt hơn,
配達,PHỐI ĐẠT,giao hàng,
達する,ĐẠT,đến,
発達する,PHÁT ĐẠT,phát triển,
達人,ĐẠT NHÂN,thạo,
雪,TUYẾT,tuyết,
大雪,ĐẠI TUYẾT,tuyết nặng,
雪だるま,TUYẾT,người tuyết,
新雪,TÂN TUYẾT,tuyết mới,
降雪,HÀNG TUYẾT,tuyếy rơi,
雪崩,TUYẾT BĂNG,lở tuyết,
吹雪,XUY TUYẾT,bão tuyết,
降りる,HÀNG,tránh ra,
降る,HÀNG,rơi,
以降,DĨ HÀNG,sau đó,
下降,HẠ HÀNG,con cháu,
降ろす,HÀNG,xuống,
降水量,HÀNG THỦY LƯỢNG,sự kết tủa,
飛び降りる,PHI HÀNG,nhảy ra khỏi,
土砂降り,THỔ SA HÀNG,mưa lớn,
放す,PHÓNG,đi thôi,
放送,PHÓNG TỐNG,quảng bá,
開放する,KHAI PHÓNG,mở,
解放する,GIẢI PHÓNG,phóng thích,
追放,TRUY PHÓNG,trục xuất,
手放す,THỦ PHÓNG,đi thôi,
放射能,PHÓNG XẠ NĂNG,sự phóng xạ,
放火,PHÓNG HỎA,đốt nhà,
髪,PHÁT,tóc,
髪の毛,PHÁT MAO,tóc,
洗髪,TẨY PHÁT,dầu gội đầu,
散髪,TÁN PHÁT,cắt tóc,
髪型,PHÁT HÌNH,kiểu tóc,
金髪,KIM PHÁT,tóc vàng,
黒髪,HẮC PHÁT,tóc đen,
白髪,BẠCH PHÁT,tóc màu xám,
絵,HỘI,hình ảnh,
絵本,HỘI BỔN,sách có hình,
絵の具,HỘI CỤ,sơn,
絵画,HỘI HỌA,bức tranh,
油絵,DU HỘI,tranh sơn dầu,
墨絵,MẶC HỘI,vẽ mực,
浮世絵,PHÙ THẾ HỘI,bản in khắc gỗ nhật bản,
似顔絵,TỰ NHAN HỘI,chân dung,
本当に,BỔN ĐƯƠNG,thực sự,
当たる,ĐƯƠNG,chạm,
お弁当,BIỆN ĐƯƠNG,hộp cơm trưa,
適当,THÍCH ĐƯƠNG,thích hợp,
当てる,ĐƯƠNG,ứng dụng,
当時,ĐƯƠNG THỜI,vào thời điểm đó,
担当,ĐẢM ĐƯƠNG,chịu trách nhiệm,
当然,ĐƯƠNG NHIÊN,tất nhiên,
伝える,TRUYỀN,nói,
手伝う,THỦ TRUYỀN,giúp,
伝言,TRUYỀN NGÔN,thông điệp,
伝統,TRUYỀN THỐNG,truyền thống,
宣伝,TUYÊN TRUYỀN,quảng cáo,
伝染,TRUYỀN NHIỄM,nhiễm trùng,
電気,ĐIỆN KHÍ,điện,
遺伝子,DI TRUYỀN TỬ,gene,
細い,TẾ,gầy,
細かい,TẾ,tốt,
細細かい,TẾ TẾ,mức phạt tiền phạt,
細胞,TẾ BÀO,tế bào,
細菌,TẾ KHUẨN,vi trùng,
心細い,TÂM TẾ,vắng vẻ,
詳細,TƯỜNG TẾ,chi tiết,
細工,TẾ CÔNG,khéo léo,
三,TAM,ba,
三つ,TAM,ba,
五時,NGŨ THỜI,năm giờ,
五月,NGŨ NGUYỆT,có thể,
九月,CỬU NGUYỆT,tháng chín,
一万,NHẤT VẠN,mười nghìn,
十万,THẬP VẠN,trăm nghìn,
百万,BÁCH VẠN,một triệu,
万年筆,VẠN NIÊN BÚT,cây viết máy,
一,NHẤT,một,
一時,NHẤT THỜI,thời gian,
一分,NHẤT ,phút,
一月,NHẤT NGUYỆT,tháng giêng,
六分,LỤC ,sáu phút,
八時,BÁT THỜI,tám giờ,
八月,BÁT NGUYỆT,tháng tám,
八歳,BÁT TUẾ,tám tuổi,
八百屋,BÁT BÁCH ỐC,người bán rau,
